,UDI,Product.ID,Type,Air.temperature..K.,Process.temperature..K.,Rotational.speed..rpm.,Torque..Nm.,Tool.wear..min.
4994,4994,L52173,L,303.8,312.9,1819,23.7,16
4995,4995,M19854,M,303.5,312.6,1642,29.4,18
5010,5010,L52189,L,303.7,312.8,1523,40.7,59
5017,5017,L52196,L,303.9,313.0,1408,47.5,76
5033,5033,M19892,M,304.0,313.1,1694,31.4,116
5038,5038,M19897,M,304.1,313.2,1586,41.1,129
5040,5040,H34453,H,304.1,313.3,1689,32.5,134
5043,5043,L52222,L,304.1,313.2,1569,35.8,146
5044,5044,L52223,L,304.1,313.2,1468,39.4,148
5049,5049,H34462,H,304.0,313.2,1271,68.6,161
5054,5054,L52233,L,303.8,312.9,1514,34.3,180
5056,5056,H34469,H,303.8,312.9,1378,45.6,184
5057,5057,M19916,M,303.9,312.9,1430,53.5,189
5059,5059,L52238,L,303.9,312.9,1526,42.5,194
5062,5062,L52241,L,304.0,312.9,1363,62.5,200
5069,5069,M19928,M,304.3,313.3,1540,39.0,14
5074,5074,M19933,M,304.0,313.0,1454,46.8,30
5080,5080,M19939,M,304.2,313.4,1411,54.8,44
5092,5092,L52271,L,303.9,313.2,1345,48.2,77
5100,5100,L52279,L,304.2,313.5,1438,50.1,100
5105,5105,L52284,L,304.1,313.5,1469,44.6,113
5108,5108,L52287,L,303.9,313.2,1540,44.4,119
5120,5120,L52299,L,304.2,313.6,1411,46.0,149
5125,5125,M19984,M,304.2,313.5,1557,37.3,164
5129,5129,L52308,L,304.2,313.4,1434,42.5,175
5135,5135,L52314,L,304.1,313.3,1438,45.5,188
5136,5136,L52315,L,304.1,313.3,1883,24.5,190
5140,5140,M19999,M,304.4,313.6,1510,38.9,199
5147,5147,L52326,L,304.4,313.6,1585,38.9,9
5148,5148,L52327,L,304.4,313.6,1569,38.4,11
5153,5153,L52332,L,304.3,313.5,2643,12.7,21
5159,5159,L52338,L,304.1,313.3,1459,50.3,39
5163,5163,L52342,L,304.2,313.3,1464,45.9,48
5180,5180,M20039,M,304.0,313.1,1450,42.8,101
5181,5181,L52360,L,304.0,313.2,1584,38.7,104
5186,5186,L52365,L,304.0,313.0,2012,21.1,115
5189,5189,L52368,L,304.0,313.2,1632,30.6,121
5193,5193,L52372,L,303.9,313.1,1310,62.9,130
5198,5198,H34611,H,303.8,312.9,1570,35.8,147
5207,5207,H34620,H,303.7,312.6,1711,27.6,170
5208,5208,M20067,M,303.8,312.7,1488,41.3,175
5212,5212,L52391,L,303.7,312.5,1433,53.6,185
5220,5220,L52399,L,303.8,313.0,1365,59.9,205
5244,5244,L52423,L,303.7,313.1,1721,34.8,50
5253,5253,L52432,L,303.5,313.0,1322,59.5,71
5271,5271,L52450,L,303.5,312.9,1275,64.4,113
5272,5272,L52451,L,303.6,313.0,1534,39.7,115
5277,5277,L52456,L,303.5,313.0,1606,34.0,126
5282,5282,M20141,M,303.7,313.0,1469,39.9,137
5283,5283,H34696,H,303.8,313.2,1381,52.4,140
5286,5286,L52465,L,303.8,313.1,1523,39.8,150
5290,5290,M20149,M,303.9,313.3,1507,34.3,161
5302,5302,L52481,L,303.8,313.1,1309,55.8,193
5312,5312,H34725,H,303.7,312.9,1460,49.8,2
5314,5314,M20173,M,303.7,312.9,1566,32.6,9
5318,5318,L52497,L,303.6,312.7,1637,32.9,19
5319,5319,L52498,L,303.5,312.6,1496,39.0,21
5321,5321,L52500,L,303.4,312.7,1363,45.5,26
5328,5328,M20187,M,303.5,312.7,2116,16.7,45
5341,5341,L52520,L,303.5,312.7,1393,49.3,82
5348,5348,L52527,L,303.3,312.7,1262,63.8,100
5355,5355,L52534,L,303.4,312.6,1462,37.5,118
5359,5359,H34772,H,303.3,312.6,1827,24.2,132
5366,5366,L52545,L,303.1,312.6,1548,36.4,150
5368,5368,M20227,M,303.1,312.5,1766,26.7,157
5372,5372,L52551,L,302.9,312.3,1435,47.7,173
5378,5378,L52557,L,302.9,312.4,2030,19.1,192
5381,5381,L52560,L,302.8,312.3,1494,37.5,198
5383,5383,L52562,L,302.9,312.4,1698,33.8,202
5396,5396,L52575,L,302.8,312.4,1529,36.8,237
5398,5398,M20257,M,302.8,312.3,1416,42.7,241
5406,5406,L52585,L,302.7,312.4,1444,48.7,9
5412,5412,L52591,L,302.8,312.6,1462,39.4,22
5414,5414,H34827,H,302.7,312.5,1527,36.4,26
5416,5416,M20275,M,302.6,312.4,1410,50.3,33
5425,5425,L52604,L,302.6,312.2,1377,45.5,54
5429,5429,L52608,L,302.7,312.4,1453,47.3,62
5432,5432,L52611,L,302.8,312.5,1462,43.4,68
5443,5443,L52622,L,303.1,312.7,1353,51.8,97
5444,5444,M20303,M,303.0,312.7,1426,46.8,99
5447,5447,L52626,L,303.1,312.9,1511,40.1,107
5448,5448,L52627,L,303.1,312.8,1465,44.1,109
5452,5452,L52631,L,303.0,312.7,1361,48.8,120
5471,5471,M20330,M,302.7,312.2,1585,35.5,167
5478,5478,L52657,L,302.7,312.1,1763,26.5,184
5481,5481,H34894,H,302.7,312.1,1478,36.0,191
5485,5485,M20344,M,302.5,312.0,1826,25.3,203
5487,5487,L52666,L,302.6,312.2,1520,43.0,208
5488,5488,M20347,M,302.6,312.1,1611,39.9,210
5491,5491,L52670,L,302.6,312.1,1288,68.5,0
5492,5492,M20351,M,302.7,312.2,1350,58.6,2
5493,5493,M20352,M,302.9,312.4,1334,50.9,5
5494,5494,L52673,L,302.8,312.4,1376,57.1,8
5496,5496,H34909,H,302.9,312.5,1357,55.0,12
5515,5515,L52694,L,302.7,312.0,1828,24.0,63
5521,5521,M20380,M,302.6,312.0,1496,45.0,79
5524,5524,M20383,M,302.5,311.9,1524,34.8,86
5528,5528,M20387,M,302.5,311.9,1532,38.8,96
5530,5530,M20389,M,302.4,311.8,1539,39.9,101
5538,5538,L52717,L,302.4,311.8,1648,30.0,122
5540,5540,H34953,H,302.3,311.7,1482,39.0,127
5542,5542,L52721,L,302.4,311.8,1433,42.2,134
5551,5551,M20410,M,302.3,311.9,1508,42.3,159
5561,5561,L52740,L,302.4,311.9,1541,37.9,192
5562,5562,M20421,M,302.3,311.7,1341,46.3,194
5568,5568,M20427,M,302.5,312.0,1445,54.8,0
5573,5573,L52752,L,302.4,312.0,1545,36.4,12
5579,5579,L52758,L,302.5,312.2,1574,38.7,30
5580,5580,L52759,L,302.6,312.2,1695,27.1,32
5587,5587,M20446,M,302.4,311.8,1557,31.5,49
5597,5597,M20456,M,302.7,312.0,1538,36.7,74
5600,5600,M20459,M,302.7,312.0,1652,31.0,81
5613,5613,L52792,L,303.0,312.3,1486,42.4,112
5615,5615,H35028,H,303.0,312.2,1624,28.8,117
5616,5616,M20475,M,303.0,312.2,1257,71.3,122
5620,5620,L52799,L,303.0,312.3,1932,21.9,132
5623,5623,L52802,L,302.9,312.2,1571,40.6,139
5629,5629,L52808,L,302.7,312.1,1688,32.0,155
5631,5631,M20490,M,302.8,312.2,1615,32.9,159
5632,5632,L52811,L,302.8,312.2,1515,36.8,162
5641,5641,L52820,L,302.6,312.1,1420,51.6,182
5642,5642,L52821,L,302.6,312.1,1473,37.3,184
5644,5644,L52823,L,302.5,312.0,1574,42.0,188
5645,5645,L52824,L,302.5,312.0,1383,51.3,190
5651,5651,L52830,L,302.5,312.0,1456,46.3,208
5657,5657,M20516,M,302.3,311.5,1316,47.2,4
5661,5661,L52840,L,302.2,311.4,1477,41.7,15
5679,5679,M20538,M,302.2,311.7,1584,36.2,63
5685,5685,H35098,H,302.2,311.6,1594,36.8,82
5690,5690,L52869,L,302.4,311.8,1543,31.1,96
5691,5691,L52870,L,302.3,311.8,1435,44.8,98
5695,5695,L52874,L,302.4,311.8,1508,45.7,108
5700,5700,L52879,L,302.4,311.9,1867,25.9,121
5702,5702,M20561,M,302.5,311.9,1347,54.3,125
5703,5703,L52882,L,302.3,311.7,1544,43.2,128
5705,5705,L52884,L,302.5,311.8,1335,52.7,135
5706,5706,L52885,L,302.4,311.9,1452,43.1,137
5709,5709,L52888,L,302.3,311.7,1611,38.6,143
5714,5714,L52893,L,302.2,311.9,1596,38.0,156
5726,5726,M20585,M,302.3,311.8,1557,34.1,185
5728,5728,M20587,M,302.3,311.8,1559,34.4,191
5730,5730,M20589,M,302.3,311.8,1463,35.7,197
5734,5734,L52913,L,302.3,311.8,1487,43.2,206
5737,5737,M20596,M,302.4,311.9,1439,36.6,212
5739,5739,L52918,L,302.3,311.7,1281,48.8,0
5745,5745,H35158,H,302.2,311.5,1482,42.6,16
5749,5749,M20608,M,302.2,311.7,1576,34.0,28
5752,5752,H35165,H,302.3,311.8,1475,42.8,38
5753,5753,H35166,H,302.3,311.8,1804,25.0,43
5759,5759,L52938,L,301.9,311.3,1501,40.8,59
5760,5760,L52939,L,301.8,311.3,1551,35.8,61
5765,5765,L52944,L,301.7,311.2,1589,37.9,75
5766,5766,L52945,L,301.7,311.3,1708,30.5,77
5772,5772,L52951,L,301.6,311.2,1525,43.7,91
5777,5777,L52956,L,301.6,311.1,1325,49.2,104
5782,5782,M20641,M,301.7,311.1,1618,36.7,115
5783,5783,L52962,L,301.7,311.1,1455,39.8,118
5787,5787,L52966,L,301.7,311.2,1521,36.7,130
5794,5794,L52973,L,301.8,311.3,1471,44.2,148
5797,5797,L52976,L,301.7,311.1,1399,55.1,156
5798,5798,L52977,L,301.6,311.0,1431,42.6,158
5800,5800,L52979,L,301.5,310.8,1593,34.5,162
5801,5801,L52980,L,301.5,310.9,1469,44.7,164
5802,5802,L52981,L,301.5,310.8,1413,44.6,166
5804,5804,L52983,L,301.5,310.9,1671,31.1,170
5815,5815,M20674,M,301.3,311.0,1402,47.5,197
5820,5820,L52999,L,301.3,311.0,1418,41.9,208
5828,5828,L53007,L,301.3,311.1,1624,40.9,0
5831,5831,M20690,M,301.3,311.2,1438,42.4,7
5834,5834,L53013,L,301.3,311.2,1457,44.5,14
5838,5838,M20697,M,301.3,311.1,1834,25.4,22
5842,5842,M20701,M,301.3,311.1,1678,30.7,34
5844,5844,L53023,L,301.5,311.2,1700,28.8,39
5847,5847,L53026,L,301.4,311.3,1674,33.3,46
5850,5850,M20709,M,301.4,311.2,1434,47.6,52
5851,5851,L53030,L,301.3,311.1,1560,35.3,55
5853,5853,H35266,H,301.2,310.9,1798,22.3,59
5855,5855,L53034,L,301.2,310.9,1416,53.3,66
5860,5860,L53039,L,301.3,311.0,1542,33.6,80
5865,5865,M20724,M,301.4,311.0,1486,36.5,91
5871,5871,L53050,L,301.5,311.1,2055,16.8,105
5873,5873,M20732,M,301.5,311.0,1504,42.6,109
5880,5880,L53059,L,301.4,311.0,1701,28.4,127
5885,5885,M20744,M,301.3,311.1,1438,43.0,137
5886,5886,L53065,L,301.3,311.1,1647,28.2,140
5889,5889,M20748,M,301.5,311.1,1507,38.6,149
5893,5893,L53072,L,301.4,311.1,1472,44.5,159
5896,5896,M20755,M,301.2,310.9,1460,46.7,166
5900,5900,H35313,H,300.9,310.6,1686,27.7,176
5904,5904,L53083,L,300.9,310.5,1894,21.9,188
5909,5909,M20768,M,300.8,310.3,1526,36.3,205
5910,5910,H35323,H,300.7,310.2,1364,65.3,208
5931,5931,L53110,L,300.3,310.3,1483,51.6,50
5939,5939,L53118,L,300.5,310.4,1702,33.1,71
5940,5940,L53119,L,300.5,310.5,1409,60.9,73
5942,5942,L53121,L,300.6,310.7,1438,48.5,78
5952,5952,L53131,L,300.7,310.9,1650,29.4,102
5959,5959,L53138,L,300.6,310.8,1533,38.5,117
5962,5962,L53141,L,300.3,310.7,1539,32.3,123
5963,5963,L53142,L,300.5,310.8,1728,26.3,125
5971,5971,L53150,L,300.4,310.8,1520,37.6,151
5973,5973,L53152,L,300.5,310.8,1445,46.6,155
5974,5974,L53153,L,300.5,310.8,1354,51.8,157
5986,5986,L53165,L,300.7,310.7,1314,42.4,198
5993,5993,L53172,L,300.7,310.6,1288,47.2,216
5999,5999,M20858,M,300.4,310.2,1613,36.9,231
6002,6002,M20861,M,300.4,310.2,1380,47.3,5
6005,6005,L53184,L,300.5,310.4,1761,26.5,12
6008,6008,M20867,M,300.7,310.6,1349,54.5,19
6011,6011,H35424,H,300.7,310.7,1428,43.4,26
6012,6012,L53191,L,300.8,310.8,1564,36.2,31
6013,6013,H35426,H,300.8,310.9,1425,44.0,33
6015,6015,H35428,H,300.8,310.8,1618,32.8,40
6028,6028,M20887,M,300.7,311.0,1413,44.3,72
6053,6053,L53232,L,300.9,311.0,2003,20.2,138
6056,6056,L53235,L,300.7,310.8,1475,42.0,147
6064,6064,L53243,L,301.1,311.1,1450,43.3,168
6069,6069,M20928,M,301.0,310.9,2047,17.9,178
6071,6071,L53250,L,300.9,310.9,1615,32.0,183
6074,6074,M20933,M,300.9,310.8,1790,26.2,191
6075,6075,M20934,M,301.0,310.8,1533,39.3,194
6077,6077,L53256,L,301.0,310.9,1492,36.7,199
6079,6079,L53258,L,300.8,310.7,1339,59.1,203
6080,6080,M20939,M,300.8,310.7,1371,44.7,205
6082,6082,L53261,L,300.9,310.7,1517,41.7,210
6091,6091,L53270,L,300.9,310.8,1708,29.1,14
6097,6097,M20956,M,300.8,310.7,1483,40.8,28
6106,6106,M20965,M,300.8,310.9,1522,46.2,56
6112,6112,M20971,M,300.7,310.8,1486,41.2,71
6115,6115,M20974,M,300.8,310.8,1549,35.5,79
6124,6124,L53303,L,300.9,310.9,1477,41.5,100
6133,6133,L53312,L,301.1,311.1,1429,42.5,123
6135,6135,L53314,L,301.0,311.0,1581,37.0,127
6144,6144,M21003,M,301.0,310.9,1575,34.6,150
6157,6157,L53336,L,301.1,311.1,1508,41.5,184
6160,6160,L53339,L,301.0,311.0,1399,58.0,190
6171,6171,H35584,H,300.8,310.5,1559,40.1,220
6176,6176,L53355,L,300.9,310.8,1517,44.3,4
6181,6181,L53360,L,301.0,310.9,1492,44.6,15
6188,6188,L53367,L,301.0,311.0,1437,56.0,33
6190,6190,M21049,M,301.0,310.9,1910,21.9,37
6192,6192,H35605,H,301.0,310.9,1916,22.0,42
6194,6194,L53373,L,301.0,310.9,1578,38.4,49
6198,6198,L53377,L,300.9,310.8,1493,45.8,57
6210,6210,L53389,L,300.7,310.6,1407,40.5,87
6217,6217,L53396,L,301.1,310.8,1724,27.5,101
6218,6218,M21077,M,301.0,310.7,1455,46.1,103
6219,6219,H35632,H,301.0,310.6,1366,50.6,106
6225,6225,L53404,L,301.2,311.0,1612,32.9,129
6227,6227,H35640,H,301.3,311.0,1341,59.3,134
6231,6231,M21090,M,301.3,311.0,1641,33.0,145
6232,6232,M21091,M,301.3,311.0,1495,40.8,148
6234,6234,L53413,L,301.2,310.9,1467,37.1,153
6238,6238,L53417,L,301.4,310.9,1414,38.8,162
6241,6241,M21100,M,301.2,310.7,1394,42.8,168
6252,6252,M21111,M,300.8,310.2,1598,36.5,195
6255,6255,L53434,L,301.0,310.5,1408,47.0,202
6262,6262,L53441,L,301.1,310.6,1417,47.6,10
6264,6264,M21123,M,301.0,310.6,1698,27.3,14
6267,6267,L53446,L,300.8,310.4,1368,46.8,21
6273,6273,M21132,M,301.1,310.6,1429,52.7,35
6274,6274,L53453,L,301.2,310.8,1711,28.9,38
6275,6275,M21134,M,301.2,310.7,1543,32.9,40
6277,6277,L53456,L,301.2,310.8,1233,64.6,45
6278,6278,L53457,L,301.2,310.8,1461,40.6,47
6286,6286,M21145,M,301.2,310.7,1426,46.1,67
6290,6290,L53469,L,301.0,310.5,1248,61.4,77
6293,6293,L53472,L,301.0,310.4,1614,31.6,84
6303,6303,L53482,L,301.2,310.6,1437,51.2,112
6306,6306,M21165,M,301.1,310.5,1603,32.6,121
6315,6315,M21174,M,301.0,310.4,1793,25.0,142
6318,6318,L53497,L,300.9,310.3,1321,48.8,150
6319,6319,M21178,M,300.9,310.3,1416,50.9,152
6323,6323,M21182,M,300.7,310.1,1483,40.2,162
6337,6337,L53516,L,300.4,309.8,1395,48.1,201
6338,6338,M21197,M,300.4,309.8,1435,43.6,203
6344,6344,L53523,L,300.2,309.8,1827,23.0,6
6357,6357,M21216,M,300.1,309.7,1420,48.4,36
6362,6362,M21221,M,300.1,309.7,1348,57.3,48
6364,6364,M21223,M,300.0,309.6,1618,36.2,53
6366,6366,M21225,M,299.9,309.5,1412,57.9,59
6367,6367,M21226,M,299.9,309.5,2065,18.1,62
6369,6369,M21228,M,300.0,309.6,1423,48.7,67
6375,6375,L53554,L,300.0,309.5,1506,38.8,87
6378,6378,L53557,L,300.1,309.6,1541,37.0,96
6380,6380,L53559,L,300.1,309.7,1485,45.9,100
6384,6384,H35797,H,300.2,309.7,1483,43.8,108
6393,6393,L53572,L,300.1,309.7,1680,33.8,140
6396,6396,M21255,M,300.1,309.6,1376,52.1,147
6401,6401,L53580,L,300.1,309.7,1601,35.8,160
6409,6409,L53588,L,300.3,309.9,1601,31.7,180
6410,6410,L53589,L,300.3,310.0,1560,40.8,182
6411,6411,L53590,L,300.4,310.1,1544,41.9,184
6416,6416,L53595,L,300.4,310.1,1503,42.2,196
6433,6433,M21292,M,300.3,309.9,1447,46.5,28
6434,6434,L53613,L,300.3,309.9,1570,34.0,31
6436,6436,L53615,L,300.3,309.9,1621,34.1,36
6448,6448,L53627,L,300.6,310.1,1337,45.8,62
6450,6450,L53629,L,300.6,310.2,1519,44.6,69
6456,6456,L53635,L,300.7,310.1,1565,40.2,81
6457,6457,L53636,L,300.7,310.2,1387,50.6,83
6468,6468,L53647,L,300.4,309.7,1692,27.4,115
6484,6484,L53663,L,300.7,309.9,1412,45.3,155
6490,6490,M21349,M,300.7,309.8,1490,38.8,173
6497,6497,L53676,L,300.7,309.9,1815,27.0,190
6498,6498,L53677,L,300.8,309.9,1312,65.3,192
6508,6508,L53687,L,301.0,310.1,1558,32.6,0
6509,6509,H35922,H,301.0,310.1,1756,30.7,2
6510,6510,L53689,L,301.1,310.1,1564,36.8,7
6512,6512,M21371,M,301.2,310.1,2280,15.7,11
6521,6521,M21380,M,301.2,310.1,1666,34.9,37
6524,6524,M21383,M,301.1,310.2,1850,27.7,44
6525,6525,L53704,L,301.1,310.4,1874,24.8,47
6528,6528,L53707,L,301.2,310.4,1516,44.4,53
6530,6530,L53709,L,301.3,310.6,1481,40.9,57
6532,6532,H35945,H,301.2,310.7,1656,26.2,64
6538,6538,M21397,M,301.3,310.5,1481,39.7,85
6540,6540,L53719,L,301.4,310.7,1436,54.1,90
6545,6545,M21404,M,301.4,310.7,1470,46.5,101
6546,6546,M21405,M,301.4,310.8,1738,30.3,104
6548,6548,L53727,L,301.4,310.8,1740,29.2,110
6552,6552,L53731,L,301.4,310.7,1616,36.5,121
6561,6561,L53740,L,301.6,310.8,1961,21.8,148
6570,6570,M21429,M,301.4,310.7,1375,42.0,168
6571,6571,L53750,L,301.4,310.6,1634,31.1,171
6574,6574,M21433,M,301.4,310.6,1855,25.3,178
6575,6575,L53754,L,301.4,310.6,1578,33.0,181
6577,6577,L53756,L,301.5,310.5,1644,34.9,186
6578,6578,L53757,L,301.4,310.4,1388,45.3,188
6579,6579,L53758,L,301.4,310.4,1543,40.9,190
6581,6581,L53760,L,301.3,310.4,1507,39.1,194
6582,6582,L53761,L,301.4,310.4,1559,36.0,196
6583,6583,L53762,L,301.5,310.5,1528,35.7,198
6586,6586,M21445,M,301.5,310.5,1600,32.8,205
6589,6589,L53768,L,301.6,310.7,1457,40.4,213
6591,6591,L53770,L,301.7,310.7,1763,25.9,3
6596,6596,M21455,M,301.5,310.7,1460,38.6,14
6604,6604,M21463,M,301.5,310.6,1403,47.4,34
6605,6605,M21464,M,301.5,310.6,1573,37.4,37
6607,6607,H36020,H,301.5,310.5,1538,44.3,43
6610,6610,L53789,L,301.5,310.4,1474,39.9,53
6616,6616,L53795,L,301.7,310.6,1545,42.1,68
6620,6620,M21479,M,301.7,310.7,1627,31.3,78
6637,6637,M21496,M,301.5,310.5,1774,25.5,121
6638,6638,H36051,H,301.5,310.5,1453,48.0,124
6643,6643,L53822,L,301.6,310.6,1431,37.5,137
6650,6650,M21509,M,301.5,310.4,1350,54.9,153
6653,6653,H36066,H,301.5,310.4,1580,35.7,161
6665,6665,L53844,L,301.3,310.4,1538,38.4,195
6673,6673,L53852,L,301.6,310.7,1424,50.5,214
6675,6675,L53854,L,301.5,310.7,1618,35.5,218
6676,6676,L53855,L,301.5,310.6,1579,28.0,220
6681,6681,L53860,L,301.5,310.8,1417,49.7,5
6684,6684,L53863,L,301.5,310.9,1318,50.6,11
6694,6694,M21553,M,301.8,311.0,1756,26.7,33
6699,6699,L53878,L,301.6,310.8,1418,44.7,46
6701,6701,H36114,H,301.6,310.9,1419,50.2,51
6705,6705,M21564,M,301.5,310.7,1510,36.0,64
6711,6711,L53890,L,301.5,310.7,1323,49.7,79
6713,6713,H36126,H,301.4,310.7,1516,36.4,83
6715,6715,L53894,L,301.3,310.6,1440,53.8,90
6717,6717,L53896,L,301.3,310.6,1387,53.6,94
6718,6718,M21577,M,301.4,310.6,1464,48.6,96
6719,6719,L53898,L,301.4,310.6,2137,18.0,99
6720,6720,M21579,M,301.4,310.6,1431,40.6,101
6724,6724,M21583,M,301.4,310.6,1565,36.1,110
6744,6744,L53923,L,301.7,311.2,1418,38.0,166
6750,6750,L53929,L,301.7,311.0,1585,35.9,185
6756,6756,M21615,M,301.8,311.1,1663,31.6,199
6757,6757,L53936,L,301.8,311.2,1840,26.6,202
6758,6758,L53937,L,301.8,311.2,1822,26.2,204
6767,6767,M21626,M,301.4,311.0,1427,43.2,13
6785,6785,M21644,M,301.3,310.7,1391,52.5,61
6789,6789,M21648,M,301.1,310.6,1410,43.9,73
6791,6791,M21650,M,301.1,310.7,2219,16.7,79
6798,6798,M21657,M,301.2,310.7,1615,34.9,95
6805,6805,L53984,L,301.0,310.6,1588,33.7,114
6806,6806,M21665,M,301.0,310.7,1497,37.6,116
6809,6809,L53988,L,301.0,310.7,1391,45.0,123
6811,6811,L53990,L,301.0,310.7,1727,34.5,127
6812,6812,L53991,L,300.9,310.6,1504,46.4,129
6838,6838,M21697,M,301.0,311.0,1423,38.6,199
6842,6842,M21701,M,301.1,311.2,1591,35.0,208
6843,6843,L54022,L,301.2,311.2,1635,29.6,211
6844,6844,L54023,L,301.3,311.3,1509,42.5,213
6856,6856,M21715,M,301.1,311.3,1654,30.7,28
6873,6873,L54052,L,301.0,311.3,1472,35.3,73
6881,6881,M21740,M,300.9,311.3,1801,24.6,100
6886,6886,L54065,L,300.8,311.2,1397,48.7,111
6895,6895,L54074,L,301.1,311.7,1408,46.3,135
6896,6896,M21755,M,301.0,311.6,1357,45.6,137
6899,6899,M21758,M,301.0,311.6,1448,43.9,145
6903,6903,L54082,L,301.0,311.6,1461,40.6,154
6906,6906,M21765,M,301.0,311.5,1550,34.9,162
6913,6913,M21772,M,300.8,311.2,1634,31.9,178
6916,6916,L54095,L,301.0,311.4,1484,36.2,188
6922,6922,L54101,L,301.1,311.6,1432,48.1,202
6931,6931,M21790,M,300.9,311.5,1836,21.8,12
6933,6933,L54112,L,300.8,311.4,1322,67.2,18
6938,6938,H36351,H,300.6,311.1,1452,40.2,28
6948,6948,M21807,M,300.7,311.3,1562,37.1,58
6950,6950,M21809,M,300.7,311.2,1769,26.5,63
6956,6956,L54135,L,300.7,311.2,1399,47.9,80
6961,6961,L54140,L,300.7,311.0,1413,52.0,91
6962,6962,M21821,M,300.7,311.0,1378,41.2,93
6965,6965,M21824,M,300.7,311.0,1263,52.3,104
6973,6973,L54152,L,300.7,311.0,1377,49.9,124
6975,6975,L54154,L,300.7,311.0,1318,48.2,128
6989,6989,L54168,L,300.7,311.1,1478,46.8,165
6993,6993,L54172,L,300.7,311.0,1596,36.9,174
7000,7000,M21859,M,300.6,310.7,1457,36.7,193
7001,7001,M21860,M,300.6,310.6,1463,45.5,196
7006,7006,M21865,M,300.6,310.7,1339,52.9,0
7012,7012,L54191,L,300.5,310.5,2633,12.2,17
7014,7014,M21873,M,300.4,310.4,1544,36.3,21
7024,7024,M21883,M,300.7,310.6,1572,38.5,50
7025,7025,L54204,L,300.6,310.6,2127,18.7,53
7027,7027,L54206,L,300.6,310.7,1543,39.6,60
7029,7029,M21888,M,300.6,310.6,1403,50.4,64
7031,7031,L54210,L,300.7,310.8,1772,27.3,69
7033,7033,L54212,L,300.7,310.9,1723,31.0,73
7046,7046,M21905,M,300.7,310.6,1609,27.6,108
7054,7054,H36467,H,300.7,310.5,1567,38.7,129
7063,7063,M21922,M,300.6,310.4,1407,51.1,157
7064,7064,L54243,L,300.7,310.4,1234,51.7,160
7072,7072,H36485,H,300.7,310.6,1505,40.6,179
7075,7075,M21934,M,300.7,310.6,1488,39.2,189
7077,7077,L54256,L,300.7,310.5,1960,21.0,194
7083,7083,L54262,L,300.7,310.3,1458,40.0,207
7092,7092,L54271,L,300.6,310.2,1318,51.0,8
7099,7099,L54278,L,300.7,310.2,1642,32.6,26
7101,7101,L54280,L,300.7,310.2,1569,32.8,31
7105,7105,L54284,L,300.9,310.4,1454,43.1,43
7106,7106,L54285,L,300.9,310.4,1536,34.2,45
7108,7108,H36521,H,300.9,310.5,1512,41.2,49
7115,7115,H36528,H,300.9,310.4,1457,43.8,69
7123,7123,L54302,L,300.9,310.4,1788,27.8,90
7124,7124,M21983,M,300.9,310.4,1576,40.4,92
7125,7125,M21984,M,300.8,310.3,1868,24.5,95
7143,7143,H36556,H,300.3,309.7,1452,41.5,139
7145,7145,M22004,M,300.4,309.8,1517,40.3,149
7146,7146,L54325,L,300.5,310.0,1413,44.5,152
7149,7149,M22008,M,300.3,309.8,1617,40.8,158
7150,7150,L54329,L,300.2,309.8,1506,41.8,161
7154,7154,L54333,L,300.2,310.0,1493,47.3,172
7155,7155,L54334,L,300.3,310.1,1483,39.9,174
7165,7165,M22024,M,300.2,310.1,1474,44.0,198
7171,7171,M22030,M,300.3,310.2,1442,39.5,4
7174,7174,L54353,L,300.1,310.1,1684,30.8,13
7178,7178,L54357,L,300.2,310.2,1415,49.6,21
7181,7181,M22040,M,300.2,310.2,1628,30.3,27
7197,7197,H36610,H,300.1,310.1,1426,42.7,64
7200,7200,L54379,L,300.0,309.9,1507,41.4,74
7201,7201,L54380,L,300.0,309.9,1608,33.4,76
7208,7208,M22067,M,299.7,309.6,1540,34.4,91
7213,7213,M22072,M,299.8,309.7,1705,28.5,103
7221,7221,L54400,L,299.8,309.7,1429,42.6,127
7223,7223,M22082,M,299.8,309.7,1320,61.7,134
7225,7225,L54404,L,299.8,309.6,1598,31.0,139
7233,7233,M22092,M,299.9,309.9,1639,42.1,159
7241,7241,M22100,M,299.9,310.1,1362,56.3,179
7243,7243,H36656,H,299.9,310.1,1447,51.4,185
7261,7261,L54440,L,300.4,310.5,2424,14.5,12
7265,7265,M22124,M,300.4,310.6,1448,44.9,21
7267,7267,L54446,L,300.4,310.5,1578,32.8,26
7273,7273,L54452,L,300.2,310.3,1202,59.5,40
7295,7295,L54474,L,300.1,310.6,1809,24.3,97
7304,7304,L54483,L,300.1,310.6,1374,45.4,119
7305,7305,L54484,L,300.1,310.5,1394,44.3,121
7307,7307,L54486,L,300.1,310.5,1356,45.8,126
7321,7321,H36734,H,299.8,310.2,1411,49.7,161
7333,7333,M22192,M,299.8,310.3,1805,23.7,198
7340,7340,L54519,L,299.8,310.4,1579,36.4,0
7342,7342,L54521,L,299.7,310.3,1505,37.7,4
7344,7344,L54523,L,299.6,310.2,1468,48.0,9
7349,7349,H36762,H,299.7,310.3,1462,40.4,19
7358,7358,L54537,L,299.6,310.1,1487,42.9,42
7372,7372,L54551,L,299.6,310.2,1512,44.0,79
7376,7376,M22235,M,299.4,309.9,1567,40.6,87
7381,7381,L54560,L,299.6,310.2,1743,24.8,99
